代號,名稱,股數
3162,精確,12.65
3163,波若威,7.438
3164,景岳,8.891
3167,大量,8.013
3169,亞信,5.309
3171,新洲,5.92
3176,基亞,13.87
3188,安茂,10.63
3189,景碩,44.6
3191,和進,5.719
3202,樺晟,9.846
3205,佰研,3.277
3206,志豐,5.182
3207,耀勝,3.826
3209,全科,16.15
3211,順達,15.2
3213,茂訊,5.869
3217,優群,8.21
3218,大學光,7.612
3219,倚強,2.33
3221,台嘉碩,9.642
3224,三顧,4.402
3226,至寶電,6.443
3227,原相,13.31
3228,金麗科,6.779
3229,晟鈦,9.352
3230,錦明,10.77
3231,緯創,274.9
3232,昱捷,3.157
3234,光環,7.253
3236,千如,7.32
3252,海灣,3.145
3257,虹冠電,6.938
3259,鑫創,8.086
3260,威剛,22.42
3264,欣銓,49
3265,台星科,13.63
3266,昇陽,35.23
3268,海德威,3.343
3272,東碩,5.226
3276,宇環,6.971
3284,太普高,5.596
3285,微端,4.411
3287,廣寰科,4.397
3288,點晶,4.848
3289,宜特,6.301
3290,東浦,9.955
3291,遠翔科,3.556
3293,鈊象,6.998
3294,英濟,13.13
3296,勝德,9.822
3297,杭特,3.691
3299,帛漢,6.106
3303,岱稜,9.609
3305,昇貿,12.15
3306,鼎天,5.061
3308,聯德,9.995
3310,佳穎,6.278
3311,閎暉,18.94
3312,弘憶股,12.85
3313,斐成,8.377
3315,宣昶,7.022
3317,尼克森,6.125
3321,同泰,8.9
3322,建舜電,8.642
3323,加百裕,8.68
3324,雙鴻,8.07
3325,旭品,7.463
3332,幸康,4.81
3338,泰碩,6.979
3339,泰谷,9.618
3346,麗清,6.828
3354,律勝,7.011
3356,奇偶,8.943
3360,尚立,7.546
3362,先進光,9.338
3363,上詮,7.747
3372,典範,40.73
3373,熱映,4.329
3374,精材,27.19
3376,新日興,17.87
3379,彬台,3.804
3380,明泰,44.45
3383,新世紀,31.52
3388,崇越電,6.41
3390,旭軟,6.698
3402,漢科,7.305
3406,玉晶光,9.977
3413,京鼎,7.875
3416,融程電,7.218
3419,譁裕,12.05
3426,台興,2.2
3428,光燿科,9.623
3431,長天,3.546
3432,台端,6.659
3434,哲固,2.27
3437,榮創,14.95
3438,類比科,6.738
3441,聯一光,4.004
3443,創意,13.4
3444,利機,3.911
3450,聯鈞,13.24
3452,益通,77.94
3454,晶睿,8.251
3455,由田,6.147
3465,祥業,1.316
3466,致振,6.089
3474,華亞科,658.9
3479,安勤,6.929
3481,群創,995.2
3483,力致,5.386
3484,崧騰,6.974
3489,森寶,8.313
3490,單井,6.876
3491,昇達科,5.158
3492,長盛,3.553
3494,誠研,17.95
3498,陽程,9.172
3499,環天科,5.497
3501,維熹,11.83
3504,揚明光,11.41
3508,位速,9.658
3511,矽瑪,4.457
3512,能緹,5.9
3514,昱晶,52.16
3515,華擎,12.07
3516,亞帝歐,5.191
3518,柏騰,8.011
3519,綠能,43.4
3520,振維,6.403
3521,鴻翊,4.673
3522,宏森,7.265
3523,迎輝,9.61
3526,凡甲,6.584
3527,聚積,3.479
3528,安馳,6.399
3529,力旺,7.578
3531,先益,6.118
3532,台勝科,77.57
3533,嘉澤,9.348
3535,晶彩科,7.905
3536,誠創,10.68
3537,堡達,4.87
3540,曜越,6.661
3541,西柏,4.932
3545,敦泰,29.82
3546,宇峻,3.799
3548,兆利,6.055
3550,聯穎,8.5
3551,世禾,5.677
3552,同致,8.539
3553,力積,6.795
3555,擎泰,3.555
3556,禾瑞亞,5.947
3557,嘉威,7.733
3558,神準,4.906
3559,全智科,12.06
3561,昇陽科,37.57
3562,頂晶科,5.809
3563,牧德,4.261
3564,其陽,2.253
